"","simu","n","p","omega_structure","distribution","zi_type","zi_config","method","criterion","B_rmse","omega_rmse","omega_rmse_diag","omega_rmse_offdiag","omega_rmse_empty","omega_rmse_empty_offdiag","omega_rmse_debiased","pcor_rmse","pcor_rmse_offdiag","pcor_rmse_empty","pcor_rmse_empty_offdiag","sigma_rmse","sigma_rmse_offdiag","sigma_rmse_empty","sigma_rmse_empty_offdiag","cor_rmse","cor_rmse_offdiag","cor_rmse_empty","cor_rmse_empty_offdiag","AUC","AUC.alt","Sigma_AUC","fit_rmse","fallout","recall","precision","f1_score","time"
"1","1","50","25","erdos_renyi","negative.binomial","species","species_1","PLN","StARS_0.8","0.6562","0.0766","0.2908","0.0509","0.0617","0.0629","0.0673","0.0577","0.0589","0.0804","0.0821","0.2174","0.1849","0.2608","0.2662","0.0819","0.0836","0.1102","0.1124","0.743035","0.787886","0.6026675","0.696578776407087","0.07","0.538","0.259","0.35","9.58250594139099"
"2","1","50","25","erdos_renyi","negative.binomial","species","species_1","PLN","StARS_0.9","0.6557","0.0794","0.2984","0.0534","0.0617","0.0629","0.0678","0.0604","0.0617","0.0804","0.0821","0.2329","0.2042","0.2608","0.2662","0.0892","0.091","0.1102","0.1124","0.743035","0.787886","0.6026675","0.702087133916828","0.035","0.538","0.412","0.467","9.58250594139099"
"3","1","50","25","erdos_renyi","negative.binomial","species","species_1","PLN","BIC","0.6575","0.086","0.3065","0.0616","0.0617","0.0629","0.0809","0.0769","0.0785","0.0804","0.0821","0.2785","0.2571","0.2608","0.2662","0.1075","0.1098","0.1102","0.1124","0.743035","0.787886","0.6026675","0.710500233294476","0","0.077","1","0.143","0.434079885482788"
"4","1","50","25","erdos_renyi","negative.binomial","species","species_1","ZIPLN","StARS_0.8","0.6831","0.0671","0.2403","0.0478","0.0617","0.0629","0.0666","0.0563","0.0574","0.0804","0.0821","0.2081","0.1933","0.2608","0.2662","0.0831","0.0849","0.1102","0.1124","0.8031005","0.858059","0.614539","0.714531851833394","0.073","0.692","0.3","0.419","7.91109204292297"
"5","1","50","25","erdos_renyi","negative.binomial","species","species_1","ZIPLN","StARS_0.9","0.6846","0.0745","0.2583","0.0548","0.0617","0.0629","0.0637","0.0647","0.0661","0.0804","0.0821","0.2385","0.2269","0.2608","0.2662","0.097","0.099","0.1102","0.1124","0.8031005","0.858059","0.614539","0.734591717155371","0.014","0.385","0.556","0.455","7.91109204292297"
"6","1","50","25","erdos_renyi","negative.binomial","species","species_1","ZIPLN","BIC","0.6857","0.0773","0.2629","0.0579","0.0617","0.0629","0.0671","0.0698","0.0713","0.0804","0.0821","0.2487","0.2379","0.2608","0.2662","0.1018","0.1039","0.1102","0.1124","0.8031005","0.858059","0.614539","0.738317759369734","0","0.231","1","0.375","0.715185165405273"
"7","1","50","25","erdos_renyi","negative.binomial","species","species_1","hmsc",NA,"0.552","0.086","0.2745","0.0675","0.0617","0.0629",NA,"0.0787","0.0803","0.0804","0.0821","0.3511","0.3027","0.2608","0.2662","0.2411","0.2461","0.1102","0.1124","0.594322",NA,"0.5895","62.4015","0.24","0.308","0.055","0.093","54.9955201148987"
"8","1","50","25","erdos_renyi","negative.binomial","species","species_1","gllvm",NA,"0.7695","0.0721","0.213","0.0593","0.0617","0.0629",NA,"0.0731","0.0746","0.0804","0.0821","0.2801","0.2569","0.2608","0.2662","0.1547","0.1578","0.1102","0.1124","0.738618",NA,"0.776107","82.2332","0.038","0.385","0.312","0.345","1.47977900505066"
"9","2","50","25","erdos_renyi","negative.binomial","species","species_1","PLN","StARS_0.8","0.6729","0.0865","0.3141","0.0606","0.0649","0.0662","0.0804","0.0595","0.0608","0.069","0.0704","0.1474","0.1056","0.1252","0.1278","0.0733","0.0748","0.0829","0.0846","0.586177","0.59001","0.5114835","0.761418270356634","0.032","0.167","0.25","0.2","10.1603660583496"
"10","2","50","25","erdos_renyi","negative.binomial","species","species_1","PLN","StARS_0.9","0.6703","0.0883","0.3183","0.0624","0.0649","0.0662","0.0799","0.0617","0.063","0.069","0.0704","0.1496","0.1109","0.1252","0.1278","0.0758","0.0774","0.0829","0.0846","0.586177","0.59001","0.5114835","0.765914654372611","0.011","0.167","0.5","0.25","10.1603660583496"
