"","simu","n","p","omega_structure","distribution","zi_type","zi_config","method","criterion","B_rmse","omega_rmse","omega_rmse_diag","omega_rmse_offdiag","omega_rmse_empty","omega_rmse_empty_offdiag","omega_rmse_debiased","pcor_rmse","pcor_rmse_offdiag","pcor_rmse_empty","pcor_rmse_empty_offdiag","sigma_rmse","sigma_rmse_offdiag","sigma_rmse_empty","sigma_rmse_empty_offdiag","cor_rmse","cor_rmse_offdiag","cor_rmse_empty","cor_rmse_empty_offdiag","AUC","AUC.alt","Sigma_AUC","fit_rmse","fallout","recall","precision","f1_score","time"
"1","1","50","25","erdos_renyi","ZIP","species","species_1","PLN","StARS_0.8","2.0049","0.1213","0.4623","0.0801","0.0834","0.0851","0.1094","0.0801","0.0817","0.0891","0.0909","0.373","0.2048","0.2224","0.227","0.1115","0.1138","0.1207","0.1232","0.694486","0.730814","0.5806825","0.685272464901208","0.032","0.304","0.438","0.359","6.14407992362976"
"2","1","50","25","erdos_renyi","ZIP","species","species_1","PLN","StARS_0.9","2.0049","0.1233","0.4664","0.0823","0.0834","0.0851","0.1128","0.0836","0.0853","0.0891","0.0909","0.3778","0.2137","0.2224","0.227","0.1157","0.1181","0.1207","0.1232","0.694486","0.730814","0.5806825","0.685448979366516","0.007","0.217","0.714","0.333","6.14407992362976"
"3","1","50","25","erdos_renyi","ZIP","species","species_1","PLN","BIC","2.005","0.1244","0.4685","0.0834","0.0834","0.0851","0.1189","0.0855","0.0872","0.0891","0.0909","0.38","0.2178","0.2224","0.227","0.1175","0.12","0.1207","0.1232","0.694486","0.730814","0.5806825","0.694703238114682","0","0.087","1","0.16","0.423814058303833"
"4","1","50","25","erdos_renyi","ZIP","species","species_1","ZIPLN","StARS_0.8","2.0397","0.1038","0.363","0.0757","0.0834","0.0851","0.0966","0.075","0.0765","0.0891","0.0909","0.2044","0.1768","0.2224","0.227","0.1004","0.1025","0.1207","0.1232","0.771135","0.8166435","0.608296","0.749646703064028","0.101","0.435","0.263","0.328","9.96235179901123"
"5","1","50","25","erdos_renyi","ZIP","species","species_1","ZIPLN","StARS_0.9","2.0392","0.1095","0.3788","0.0807","0.0834","0.0851","0.0966","0.0807","0.0823","0.0891","0.0909","0.225","0.2035","0.2224","0.227","0.1126","0.1149","0.1207","0.1232","0.771135","0.8166435","0.608296","0.769994471782727","0.007","0.261","0.75","0.387","9.96235179901123"
"6","1","50","25","erdos_renyi","ZIP","species","species_1","ZIPLN","BIC","2.039","0.1114","0.3795","0.0833","0.0834","0.0851","0.105","0.0854","0.0872","0.0891","0.0909","0.2365","0.2177","0.2224","0.227","0.1175","0.1199","0.1207","0.1232","0.771135","0.8166435","0.608296","0.780086889643782","0","0.087","1","0.16","0.80665397644043"
"7","1","50","25","erdos_renyi","ZIP","species","species_1","hmsc",NA,"2.0638","1.111","5.0761","0.4607","0.0834","0.0851",NA,"0.0861","0.0879","0.0891","0.0909","0.3867","0.372","0.2224","0.227","0.36","0.3674","0.1207","0.1232","0.600398",NA,"0.7903","208.1926","0.513","0.696","0.101","0.177","126.790451049805"
"8","1","50","25","erdos_renyi","ZIP","species","species_1","gllvm",NA,"1.2328","0.1372","0.5446","0.0851","0.0834","0.0851",NA,"0.0891","0.0909","0.0891","0.0909","0.3655","0.2886","0.2224","0.227","0.6694","0.6832","0.1207","0.1232","0.5628665",NA,"0.661469","219.4651","0","0",NA,"0","2.1251859664917"
"9","2","50","25","erdos_renyi","ZIP","species","species_1","PLN","StARS_0.8","2.1736","0.1005","0.4298","0.0532","0.0551","0.0563","0.0925","0.0611","0.0623","0.0643","0.0656","0.3676","0.1438","0.1428","0.1457","0.0776","0.0792","0.0849","0.0866","0.659033","0.644386","0.5355065","0.665342468605418","0.063","0.25","0.182","0.211","5.03070092201233"
"10","2","50","25","erdos_renyi","ZIP","species","species_1","PLN","StARS_0.9","2.1736","0.1018","0.4354","0.0539","0.0551","0.0563","0.0934","0.0593","0.0606","0.0643","0.0656","0.3619","0.128","0.1428","0.1457","0.0771","0.0787","0.0849","0.0866","0.659033","0.644386","0.5355065","0.66541009874706","0.035","0.25","0.286","0.267","5.03070092201233"
"11","2","50","25","erdos_renyi","ZIP","species","species_1","PLN","BIC","2.1736","0.1033","0.4399","0.0552","0.0551","0.0563","0.0986","0.0607","0.0619","0.0643","0.0656","0.3627","0.1305","0.1428","0.1457","0.0809","0.0826","0.0849","0.0866","0.659033","0.644386","0.5355065","0.668019986009415","0","0.125","1","0.222","0.196877002716064"
"12","2","50","25","erdos_renyi","ZIP","species","species_1","ZIPLN","StARS_0.8","2.2206","0.0752","0.2939","0.0479","0.0551","0.0563","0.0723","0.0544","0.0555","0.0643","0.0656","0.1857","0.136","0.1428","0.1457","0.0736","0.0751","0.0849","0.0866","0.8160515","0.75865","0.579858","0.799447176222894","0.049","0.5","0.364","0.421","6.6500608921051"
